Stromgren b	4670.5	3.916	3.350	3.089	2.938	WFC3 F475W	4785.0	3.755	3.248	3.013	2.878	
Stromgren v	4119.2	4.619	3.793	3.411	3.191	WFC3 F475X	4969.7	3.548	3.116	2.917	2.803	
Stromgren beta	4861.3	3.655	3.183	2.966	2.840	WFC3 F555W	5302.8	3.135	2.855	2.726	2.652	
Stromgren y	5478.9	2.862	2.686	2.605	2.557	WFC3 F600LP	7362.3	1.688	1.781	1.824	1.849	
SDSS u	3586.8	5.419	4.239	3.715	3.419	WFC3 F606W	5868.5	2.581	2.488	2.445	2.421	
SDSS g	4716.7	3.843	3.303	3.054	2.910	WFC3 F625W	6225.8	2.230	2.259	2.273	2.281	
SDSS r	6165.1	2.255	2.285	2.300	2.308	WFC3 F775W	7630.9	1.533	1.643	1.694	1.724	
SDSS i	7475.9	1.583	1.698	1.751	1.782	WFC3 F814W	7983.1	1.441	1.536	1.580	1.605	
SDSS z	8922.9	1.211	1.263	1.286	1.300	WFC3 F850LP	9149.7	1.168	1.208	1.226	1.237	
DSS-II g	4620.6	3.970	3.381	3.110	2.954	ACS clear	6211.1	2.612	2.436	2.356	2.309	
DSS-II r	6545.5	1.991	2.088	2.133	2.159	ACS F435W	4348.3	4.330	3.610	3.278	3.087	
DSS-II i	8111.0	1.396	1.487	1.530	1.554	ACS F475W	4760.3	3.787	3.268	3.028	2.890	
PS1 g	4876.7	3.634	3.172	2.958	2.835	ACS F550M	5581.0	2.754	2.620	2.558	2.522	
PS1 r	6200.1	2.241	2.271	2.284	2.292	ACS F555W	5361.3	3.031	2.792	2.682	2.618	
PS1 i	7520.8	1.568	1.682	1.734	1.765	ACS F606W	5901.0	2.555	2.471	2.431	2.409	
PS1 z	8665.3	1.258	1.322	1.352	1.369	ACS F625W	6298.1	2.171	2.219	2.241	2.254	
PS1 y	9706.3	1.074	1.087	1.094	1.097	ACS F775W	7673.5	1.520	1.629	1.679	1.708	
PS1 w	6240.8	2.425	2.341	2.302	2.280	ACS F814W	8012.4	1.432	1.526	1.569	1.594	
LSST u	3693.2	5.243	4.145	3.652	3.373	ACS F850LP	9007.5	1.196	1.243	1.265	1.277	
LSST g	4797.3	3.739	3.237	3.006	2.872	DES g	4796.6	3.739	3.237	3.006	2.872	
LSST r	6195.8	2.245	2.273	2.286	2.294	DES r	6382.6	2.113	2.176	2.205	2.221	
LSST i	7515.3	1.571	1.684	1.737	1.767	DES i	7769.0	1.490	1.595	1.644	1.672	
LSST z	8664.4	1.259	1.323	1.353	1.370	DES z	9108.2	1.175	1.217	1.236	1.247	
LSST y	9710.3	1.075	1.088	1.094	1.098	DES Y	9850.4	1.051	1.058	1.061	1.063	

Notes. Ab/E(B - V)SFD in different bandpasses b, evaluated according to an F99 reddening law with normalization N = 0.78 and RV = 2.1, 3.1, 4.1, and 5.1, using a 7000 K source spectrum. The column lambdaeff gives the throughput-weighted mean wavelength in the bandpass. When used with RV = 3.1, these give the coefficients to use with E(B - V)SFD to get reddenings consistent with the results of this work and Schlafly et al. (2010). The values for other RV are provided only for convenience.
